path,.,_id,imageUrl,annotation,brush,annotation.0
samples.11,,s39imcmeq,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_012_img_000000002_c0.png,go-forward,complete,
samples.12,,su96p05zm,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_013_img_000000002_c0.png,stationary,complete,
samples.13,,skqr9fnav,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_014_img_000000002_c0.png,go-right,complete,
samples.14,,spv7ny7xp,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_015_img_000000003_c0.png,go-backward,complete,
samples.15,,smdnnj6qf,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_016_img_000000004_c0.png,go-left,complete,
samples.16,,sswq2r7wm,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_017_img_000000005_c0.png,go-right,complete,
samples.17,,sexlpa8rf,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_018_img_000000006_c0.png,go-right,complete,
samples.18,,sl3kz457w,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_019_img_000000007_c0.png,go-right,complete,
samples.19,,sicrcbtbq,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_020_img_000000007_c0.png,go-right,complete,
samples.20,,s37skowve,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_021_img_000000007_c0.png,go-left,complete,
samples.21,,sbsjvktgi,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_022_img_000000007_c0.png,go-left,complete,
samples.22,,stxju80ip,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_023_img_000000007_c0.png,go-forward,complete,
samples.23,,s8mf0lv4l,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_024_img_000000007_c0.png,stationary,complete,
samples.24,,s2jcmuxon,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_025_img_000000008_c0.png,stationary,complete,
samples.25,,s0bit00eh,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_026_img_000000008_c0.png,go-right,complete,
samples.26,,snijevibn,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_027_img_000000008_c0.png,go-backward,complete,
samples.27,,skikwhetr,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_028_img_000000009_c0.png,go-right,complete,
samples.28,,sb8ryzy6n,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_029_img_000000009_c0.png,go-backward,complete,
samples.29,,s1w3ftelc,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_030_img_000000010_c0.png,go-right,complete,
samples.30,,sk7hya7fs,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_031_img_000000010_c0.png,go-right,complete,
samples.31,,soawst2gp,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_032_img_000000010_c0.png,go-forward,complete,
samples.32,,s6iomoyop,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_033_img_000000010_c0.png,go-backward,complete,
samples.33,,syng427an,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_034_img_000000010_c0.png,go-right,complete,
samples.34,,schkv0wfi,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_035_img_000000011_c0.png,go-backward,complete,
samples.35,,s0j9umfcs,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_036_img_000000011_c0.png,go-right,complete,
samples.36,,shu39i7u5,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_037_img_000000011_c0.png,go-backward,complete,
samples.37,,s9pinay28,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_038_img_000000011_c0.png,go-right,complete,
samples.38,,svxl2ucr6,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_039_img_000000012_c0.png,go-left,complete,
samples.39,,sbdisjvqa,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_040_img_000000012_c0.png,go-left,complete,
samples.40,,sr8t6ys53,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_041_img_000000012_c0.png,go-left,complete,
samples.41,,sl4s6dmyq,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_042_img_000000012_c0.png,go-right,complete,
samples.42,,so3u4xb7p,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_043_img_000000012_c0.png,go-backward,complete,
samples.43,,sy76143dn,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_044_img_000000013_c0.png,go-right,complete,
samples.44,,so13rbzys,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_045_img_000000014_c0.png,go-right,complete,
samples.45,,s98swme1w,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_046_img_000000015_c0.png,go-right,complete,
samples.46,,smx75xenh,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_047_img_000000015_c0.png,go-backward,complete,
samples.47,,sxu3c3rb8,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_048_img_000000016_c0.png,go-backward,complete,
samples.48,,sq8axzyfy,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_049_img_000000016_c0.png,go-right,complete,
samples.49,,svhqstj6s,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_050_img_000000016_c0.png,go-right,complete,
samples.50,,srwf00k6b,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_051_img_000000016_c0.png,go-right,complete,
samples.51,,spogm0sud,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_052_img_000000017_c0.png,go-right,complete,
samples.52,,sezdj3g0o,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_053_img_000000017_c0.png,go-backward,complete,
samples.53,,sfi8gr2tp,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_054_img_000000017_c0.png,go-backward,complete,
samples.54,,s9xt3osij,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_055_img_000000017_c0.png,go-backward,complete,
samples.55,,stz3b2tej,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_056_img_000000017_c0.png,go-right,complete,
samples.56,,sk5ue5vl8,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_057_img_000000017_c0.png,go-right,complete,
samples.57,,sk9odjo66,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_058_img_000000018_c0.png,go-right,complete,
samples.58,,stcfm2w16,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_059_img_000000018_c0.png,go-backward,complete,
samples.59,,sjjx450jr,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_060_img_000000018_c0.png,go-backward,complete,
samples.60,,s0t66cahv,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_061_img_000000018_c0.png,stationary,complete,
samples.61,,si6oe7tug,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_062_img_000000019_c0.png,go-right,complete,
samples.62,,sanpw6vzx,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_063_img_000000019_c0.png,go-right,complete,
samples.63,,sp1f1em3o,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_064_img_000000019_c0.png,go-backward,complete,
samples.64,,si4xiseaw,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_065_img_000000019_c0.png,go-backward,complete,
samples.65,,sk66nk7j9,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_066_img_000000019_c0.png,stationary,complete,
samples.66,,ss4io1swd,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_067_img_000000019_c0.png,go-backward,complete,
samples.67,,saikn3b2c,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_068_img_000000020_c0.png,go-left,complete,
samples.68,,sml60g70i,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_069_img_000000020_c0.png,go-left,complete,
samples.69,,szeste5v9,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_070_img_000000020_c0.png,stationary,complete,
samples.70,,sgs5fbgxp,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_071_img_000000020_c0.png,go-left,complete,
samples.71,,se9gisgmi,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_072_img_000000020_c0.png,go-left,complete,
samples.72,,s0jmc8tcu,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_073_img_000000021_c0.png,go-left,complete,
samples.73,,sj86ry35b,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_074_img_000000021_c0.png,go-left,complete,
samples.74,,scv12x1ih,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_075_img_000000021_c0.png,go-left,complete,
samples.75,,s37y1tdow,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_076_img_000000022_c0.png,stationary,complete,
samples.76,,sg5gmu4vi,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_077_img_000000022_c0.png,stationary,complete,
samples.77,,s9zlfy3dc,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_078_img_000000022_c0.png,stationary,complete,
samples.78,,se4f4oqzj,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_079_img_000000022_c0.png,go-backward,complete,
samples.79,,solgd083x,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_080_img_000000023_c0.png,go-right,complete,
samples.80,,s5ktpgho8,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_081_img_000000023_c0.png,go-backward,complete,
samples.81,,s3t022brj,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_082_img_000000023_c0.png,go-right,complete,
samples.82,,stdxlqu0k,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_083_img_000000023_c0.png,stationary,complete,
samples.83,,s41cbxpnc,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_084_img_000000023_c0.png,go-right,complete,
samples.84,,sod0v4au5,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_085_img_000000023_c0.png,stationary,complete,
samples.85,,swe27k4ia,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_086_img_000000024_c0.png,go-backward,complete,
samples.86,,s8t59t1xq,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_087_img_000000024_c0.png,go-left,complete,
samples.87,,su9iqdrvu,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_088_img_000000024_c0.png,go-left,complete,
samples.88,,sgne877r2,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_089_img_000000024_c0.png,go-right,complete,
samples.89,,se1uxvfdw,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_090_img_000000026_c0.png,go-right,complete,
samples.90,,sllzxhvbp,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_091_img_000000026_c0.png,stationary,complete,
samples.91,,sqik8nr3f,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_092_img_000000026_c0.png,go-backward,complete,
samples.92,,sr997i2t7,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_093_img_000000026_c0.png,go-left,complete,
samples.93,,szp4cjvs7,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_094_img_000000026_c0.png,stationary,complete,
samples.94,,sugk0uce4,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_095_img_000000027_c0.png,go-right,complete,
samples.95,,srfialhbp,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_096_img_000000027_c0.png,go-right,complete,
samples.96,,s42i09ewi,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_097_img_000000027_c0.png,go-forward,complete,
samples.97,,sryhkf2lr,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_098_img_000000027_c0.png,stationary,complete,
samples.98,,sfnylbgij,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_099_img_000000027_c0.png,stationary,complete,
samples.99,,s02lgii14,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_100_img_000000028_c0.png,go-right,complete,
samples.100,,s21wit2fb,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_101_img_000000028_c0.png,go-right,complete,
samples.101,,sl539wqhd,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_102_img_000000028_c0.png,go-right,complete,
samples.102,,st869oayl,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_103_img_000000028_c0.png,go-right,complete,
samples.103,,ss483hw6g,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_104_img_000000029_c0.png,go-forward,complete,
samples.104,,skx5w9myg,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_105_img_000000029_c0.png,go-forward,complete,
samples.105,,shn5gsjtb,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_106_img_000000029_c0.png,go-backward,complete,
samples.106,,s4upoxlyc,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_107_img_000000029_c0.png,go-backward,complete,
samples.107,,s4iwxo6rc,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_108_img_000000029_c0.png,go-left,complete,
samples.108,,seegs5kgq,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_109_img_000000030_c0.png,go-left,complete,
samples.109,,simzn5so6,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_110_img_000000030_c0.png,go-left,complete,
samples.110,,syxpf1n63,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_111_img_000000030_c0.png,go-forward,complete,
samples.111,,sk81qkk5r,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_112_img_000000030_c0.png,go-left,complete,
samples.112,,sfh77oyeo,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_113_img_000000030_c0.png,go-right,complete,
samples.113,,sqb2cyj81,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_114_img_000000030_c0.png,go-right,complete,
samples.114,,seds9s3r9,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_115_img_000000031_c0.png,go-left,complete,
samples.115,,slztfksko,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_116_img_000000031_c0.png,go-left,complete,
samples.116,,sg1dr33y9,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_117_img_000000031_c0.png,go-forward,complete,
samples.117,,s91sp5y1f,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_118_img_000000031_c0.png,go-left,complete,
samples.118,,scwim7849,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_119_img_000000031_c0.png,go-left,complete,
samples.119,,sof11qi6r,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_120_img_000000031_c0.png,go-forward,complete,
samples.120,,sffhnqdcm,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_121_img_000000031_c0.png,go-left,complete,
samples.121,,sz0ana8fx,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_122_img_000000031_c0.png,go-backward,complete,
samples.122,,s2kjeejk8,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_123_img_000000032_c0.png,go-right,complete,
samples.123,,slxvt0glg,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_124_img_000000032_c0.png,go-forward,complete,
samples.124,,stejrh3hv,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_125_img_000000032_c0.png,go-left,complete,
samples.125,,s6gblahbi,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_126_img_000000032_c0.png,go-forward,complete,
samples.126,,snbvvxx8f,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_127_img_000000032_c0.png,go-backward,complete,
samples.127,,sqaxw9ost,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_128_img_000000032_c0.png,stationary,complete,
samples.128,,slwb5sq5q,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_129_img_000000032_c0.png,go-left,complete,
samples.129,,sf31gla9o,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_130_img_000000032_c0.png,go-left,complete,
samples.130,,sm382dvg8,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_131_img_000000032_c0.png,go-left,complete,
samples.131,,sfu7sj537,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_132_img_000000033_c0.png,go-left,complete,
samples.132,,sa4kwgqqt,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_133_img_000000034_c0.png,stationary,complete,
samples.133,,s3xw6n886,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_134_img_000000034_c0.png,go-forward,complete,
